AMFI Code,Fund Name,Category,1Y CAGR (%),3Y CAGR (%),5Y CAGR (%),Risk Score,Score
140175,Edelweiss Large & Mid Cap Fund,Mid Cap,7.724423836375416,16.81013787713863,15.153290464836244,5,6.086082726283177
150440,quant Large Cap Fund,Index / Large Cap,7.829953367313736,15.44897577641613,,4,6.069385465849678
141950,BANK OF INDIA Mid Cap Tax Fund Series 1 Direct Plan Growth,Mid Cap,11.427554289782837,16.747249926301322,13.171573300810246,5,6.048349955780793
149669,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund),Flexi Cap,4.717390080504424,15.402197965367304,,4,6.041318779220382
143079,Sundaram Long Term Tax Advantage Fund Series IV Direct Plan,ELSS (Tax Saving),13.879059549961404,16.648406523490557,19.635857241651934,5,5.989043914094333
IWO,iShares Russell 2000 Growth ETF,International,29.691619599606646,19.28304151332274,6.854510254048307,7,5.969824907993643
IBB,iShares Biotechnology ETF,International,47.476539244345275,17.8506550135203,4.148291699511675,6,5.9103930081121785
149303,BANDHAN MULTI CAP FUND,Flexi Cap,4.427111941118311,15.15897205128347,,4,5.895383230770082
148980,BANK OF INDIA Large Cap Fund Direct Plan Growth,Index / Large Cap,7.816229116945106,15.133617405194567,11.384179069894106,4,5.88017044311674
150387,Baroda BNP Paribas Flexi Cap Fund,Flexi Cap,5.54030462113595,15.047920445889606,,4,5.828752267533763
142153,Sundaram Long Term Tax Advantage Fund Series III Direct Plan,ELSS (Tax Saving),13.729501186998426,16.342471645960988,19.338954947434473,5,5.8054829875765925
VB,Vanguard Small-Cap ETF,International,24.812986218426136,17.475451117136775,8.535272617529799,6,5.685270670282064
118479,BANDHAN Large Cap Fund,Index / Large Cap,3.3343822346092455,14.699114473470365,12.283057789629282,4,5.619468684082219
118525,Franklin India Small Cap Fund,Small Cap,7.924509244488509,15.915584306942243,18.589639286741686,5,5.549350584165346
120416,Invesco India ELSS Tax Saver Fund,ELSS (Tax Saving),2.9483200647685948,14.503950945359811,11.841225605392669,4,5.502370567215887
141141,Sundaram Long Term Micro Cap Tax Advantage Fund Series V Direct Plan,ELSS (Tax Saving),11.5970459666751,15.720128584072167,17.549809091783896,5,5.4320771504433
120164,Kotak,Small Cap,7.1640481567531555,14.354055657360831,15.007142659983774,4,5.412433394416499
120524,Axis Multi Asset Allocation Fund,Flexi Cap,14.69034460338101,15.553404036452578,10.803938415119552,5,5.332042421871547
118651,Nippon India Multi Cap Fund,Flexi Cap,1.5055564173269476,15.535262954549879,19.408801100691452,5,5.3211577727299275
118650,Nippon India Multi Cap Fund,Flexi Cap,1.5055564173269476,15.535262954549879,19.408801100691452,5,5.3211577727299275
FAN,First Trust Global Wind Energy ETF,International,27.570050330439777,16.868006215125252,3.9934263244963963,6,5.32080372907515
VBR,Vanguard Small-Cap Value ETF,International,24.27931310041911,16.814576306358763,10.234130648223893,6,5.288745783815257
120413,Invesco India Multicap Fund,Flexi Cap,2.2128421591199654,15.472328718037897,13.704421975848025,5,5.283397230822738
CPER,US Copper Index Fund,International,40.732758945526705,19.464299198134594,9.271093819038366,8,5.278579518880756
146130,CANARA ROBECO SMALL CAP FUND,Small Cap,8.55140186915888,15.440293122882952,17.916615444655392,5,5.264175873729771
119242,DSP ELSS Tax Saver Fund,ELSS (Tax Saving),1.6748903151892147,15.378624191476952,13.634457615786877,5,5.227174514886171
119351,BANK OF INDIA ELSS Tax Saver,ELSS (Tax Saving),7.4243413890703325,15.281233271761273,13.128948461867518,5,5.168739963056764
148962,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,Index / Large Cap,4.679847335746712,13.943436583351065,13.336113750000077,4,5.166061950010639
149107,HDFC NIFTY50 Equal weight Index Fund,Index / Large Cap,4.607132291788751,13.942107311206264,13.407446203538687,4,5.165264386723758
120591,ICICI Prudential Smallcap Fund,Small Cap,5.425027730160337,13.929154521251718,16.304215067767934,4,5.15749271275103
119060,HDFC ELSS Tax saver,ELSS (Tax Saving),-2.2434376527514233,15.244560738979596,16.162411501932073,5,5.146736443387757
141564,Sundaram Long Term Micro Cap Tax Advantage Fund Series VI Direct Plan,ELSS (Tax Saving),9.999358832790728,15.22546333163508,17.71339320444143,5,5.1352779989810475
150639,ICICI Prudential Nifty50 Equal Weight Index Fund,Index / Large Cap,4.626563315016297,13.880129360414607,,4,5.128077616248764
151762,UTI Nifty50 Equal Weight Index Fund,Index / Large Cap,4.753595817766287,13.816976364108546,,4,5.090185818465128
118285,CANARA ROBECO ELSS TAX SAVER,ELSS (Tax Saving),4.0266409070110365,13.815127892973788,12.002162725055454,4,5.089076735784272
125497,SBI Small Cap Fund,Small Cap,8.2636795094297,13.795691606520034,16.174701436443527,4,5.0774149639120205
IDU,iShares U.S. Utilities ETF,International,5.160649948933971,15.107526925374826,8.255044966841684,5,5.064516155224895
150187,BARODA BNP PARIBAS LARGE CAP Fund,Index / Large Cap,3.134519523677648,13.734358870699781,,4,5.040615322419868
139990,Sundaram Long Term Micro Cap Tax Advantage Fund Series IV Direct Plan,ELSS (Tax Saving),10.583940368729516,14.99859239599366,17.86183359233242,5,4.999155437596196
139711,Sundaram Long Term Micro Cap Tax Advantage Fund Series III Direct Plan,ELSS (Tax Saving),10.900528169014079,14.933839848656172,17.694959469035677,5,4.960303909193703
132756,Tata ELSS Fund,ELSS (Tax Saving),9.990998564528786,14.78718233581493,14.569682184471766,5,4.872309401488957
IJH,iShares Core S&P Mid-Cap,International,22.859713674033564,16.030938576654407,9.280203070372384,6,4.818563145992643
119773,Kotak ELSS Tax Saver Fund,ELSS (Tax Saving),3.9048331100237643,13.322940396841743,13.585060746429534,4,4.793764238105045
118540,Franklin India ELSS Tax Saver Fund,ELSS (Tax Saving),-1.2770404166328908,13.248226269717755,13.56598704926295,4,4.748935761830652
120592,ICICI Prudential ELSS Tax Saver Fund,ELSS (Tax Saving),0.9520528939537476,13.240529444079696,11.981277978453342,4,4.7443176664478175
118803,Nippon India ELSS Tax Saver Fund,ELSS (Tax Saving),2.563523107119825,14.539997623952349,13.771361397343163,5,4.723998574371409
120490,JM Large Cap Fund (Direct),Index / Large Cap,3.2597659137178603,13.18969211479224,12.455413709484798,4,4.713815268875344
119544,Aditya Birla Sun Life ELSS Tax Saver Fund,ELSS (Tax Saving),2.7956674473068155,13.165249744180318,9.852926132693085,4,4.699149846508191
120586,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund),Index / Large Cap,-1.4319613779559814,13.092563237399224,13.184400710059041,4,4.655537942439534
135781,Mirae Asset ELSS Tax Saver Fund,ELSS (Tax Saving),4.7396190958042705,14.371212423404867,12.851230281983828,5,4.62272745404292
119307,Union ELSS Tax Saver Fund,ELSS (Tax Saving),3.2248979017039714,12.800936582493193,12.42618555331756,4,4.4805619494959155
118870,Taurus Large Cap Fund,Index / Large Cap,6.001084533349399,14.11149628956827,11.333822776884528,5,4.466897773740962
141877,DSP Nifty 50 Equal Weight Index Fund,Index / Large Cap,4.723207249802996,13.98940118263845,13.452347026382183,5,4.393640709583069
USMV,iShares MSCI USA Min Vol Factor ETF,International,9.193413631759073,12.595503108003857,7.299604924333569,4,4.357301864802314
149158,ICICI Prudential Nifty Alpha Low,Index / Large Cap,2.9187868103689896,12.595399936589136,,4,4.357239961953481
150487,Nippon India Nifty Alpha Low Volatility 30 Index Fund,Index / Large Cap,2.9185425445984015,12.58266249858675,,4,4.34959749915205
120152,Kotak Large Cap  Fund,Index / Large Cap,1.1276517578190148,12.547155086488981,11.275913371006174,4,4.328293051893389
EWA,iShares MSCI Australia ETF,International,13.783167280407982,15.179454854963659,7.36816443240309,6,4.3076729129781945
XLE,Energy Select Sector SPDR,International,54.413271231312564,16.4397208976953,26.582119729656164,7,4.263832538617179
118269,CANARA ROBECO LARGE CAP FUND,Index / Large Cap,-0.34190371991247304,12.418733990179254,10.85926032496236,4,4.251240394107552
VIGI,Vanguard Intl Div Apprec,International,11.627629966282239,12.37929868412364,5.078329345241883,4,4.227579210474183
151611,NJ ELSS Tax Saver Scheme Direct Growth,ELSS (Tax Saving),-0.7874015748031593,12.251295515093897,,4,4.150777309056338
118866,Taurus ELSS Tax Saver Fund,ELSS (Tax Saving),-1.4013177303569657,12.15824350752801,12.181221805272147,4,4.094946104516805
120503,Axis ELSS Tax Saver Fund,ELSS (Tax Saving),2.224376051246546,13.462274174616763,7.96596031010639,5,4.077364504770058
120826,quant Large & Mid Cap Fund,Mid Cap,12.701385532463338,17.460109708751048,18.278406208544595,8,4.0760658252506285
145206,Tata Small Cap Fund,Small Cap,-1.3114855958494043,13.389712428201662,16.166590033571904,5,4.0338274569209975
118632,Nippon India Large Cap Fund,Index / Large Cap,-1.0110316591697477,13.11267149814508,15.28660503338859,5,3.8676028988870472
118633,Nippon India Large Cap Fund,Index / Large Cap,-1.0110316591697477,13.11267149814508,15.286558636803814,5,3.8676028988870472
120270,LIC MF ELSS Tax Saver,ELSS (Tax Saving),-1.2451883055413004,11.772308638743056,10.896582401358756,4,3.863385183245833
